UPRN,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE
22221571,526389.0,105476.0,50.8350182,-0.2064984
22221572,526359.0,105411.0,50.8344405,-0.2069466
22221573,526398.0,105497.0,50.835205,-0.2063634
22221574,526373.0,105423.0,50.8345453,-0.2067438
22221575,526342.0,105326.0,50.8336802,-0.2072172
22221625,527738.0,105331.0,50.8334192,-0.187402
22221650,527704.0,105334.0,50.8334537,-0.1878835
22221653,527763.0,105329.0,50.8333957,-0.1870479
22221669,531032.0,105667.0,50.8357038,-0.1405316
22221670,531032.0,105667.0,50.8357038,-0.1405316
22221671,531032.0,105667.0,50.8357038,-0.1405316
22221673,531032.0,105667.0,50.8357038,-0.1405316
22221674,531032.0,105667.0,50.8357038,-0.1405316
22221675,531032.0,105667.0,50.8357038,-0.1405316
22221676,531032.0,105667.0,50.8357038,-0.1405316
22221677,531032.0,105667.0,50.8357038,-0.1405316
22221678,531032.0,105667.0,50.8357038,-0.1405316
22221679,531032.0,105667.0,50.8357038,-0.1405316
22221711,531675.0,103948.0,50.8201079,-0.1320221
22221722,531440.0,106568.0,50.8437093,-0.134418
22221732,530636.0,104898.0,50.8288814,-0.1464258
22221740,533043.0,103686.0,50.8174408,-0.1127075
22221761,531890.0,105253.0,50.8317881,-0.1285026
22221778,532241.0,109413.0,50.8690968,-0.1220206
22221782,531344.0,105206.0,50.8314897,-0.1362683
22221936,531655.0,104172.0,50.8221257,-0.1322255
22221984,530839.0,103978.0,50.8205668,-0.1438731
22222075,532016.0,105542.0,50.8343569,-0.1266105
22222163,531410.0,103974.0,50.8204017,-0.1357728
22222244,529684.0,104505.0,50.8255629,-0.1600748
22222248,531050.0,104152.0,50.822083,-0.1408171
22222249,531050.0,104152.0,50.822083,-0.1408171
22222250,531050.0,104152.0,50.822083,-0.1408171
22222252,524561.0,107314.0,50.8519344,-0.2318203
22222269,529737.0,104477.0,50.8252994,-0.1593327
22222301,531112.0,104263.0,50.8230667,-0.1398977
22222304,531113.0,104268.0,50.8231114,-0.1398818
22222305,531116.0,104272.0,50.8231466,-0.1398378
22222312,531112.0,104263.0,50.8230667,-0.1398977
22222314,529647.41,106272.25,50.8414553,-0.1599697
22222317,531280.0,104511.0,50.8252576,-0.1374252
22222353,531173.0,104194.0,50.8224327,-0.1390568
